"Szenario";"Type";"Age";"Min";"Q1";"Median";"Mean";"Q3";"Max";"SD";"UCB_95";"Mean_Exp_Age"
"1";"disease";"99";"0";"30";"45";"121.42";"75";"1200";"216.77";"600";"99.68"
"1";"all";"100";"0";"135";"150";"202.13";"165";"2240";"257.28";"600";"100"
"1";"control";"100";"0";"0";"120";"83.63";"120";"120";"55";"120";"100"
"1";"perio";"100";"0";"0";"0";"52.94";"0";"2000";"217.42";"240";"100"
"1";"disease";"100";"0";"15";"30";"65.56";"45";"600";"110.52";"240";"100"
"2";"all";"35";"0";"11140";"13820";"16517.66";"15580";"195900";"17880.04";"39510";"84.65"
"2";"control";"35";"0";"8300";"11450";"10118.45";"13100";"15900";"4083.42";"14650";"84.65"
"2";"perio";"35";"0";"0";"0";"3078.4";"0";"166350";"15037.35";"8700";"84.65"
"2";"disease";"35";"0";"1360";"1680";"3320.81";"1920";"49500";"6375.99";"18760";"84.65"
"2";"all";"36";"0";"10910";"13540";"16204.91";"15300";"186450";"17575.3";"38660";"84.67"
"2";"control";"36";"0";"8150";"11200";"9929.56";"12850";"15900";"4020.64";"14400";"84.67"
"2";"perio";"36";"0";"0";"0";"3021.58";"0";"157350";"14772.78";"8200";"84.67"
"2";"disease";"36";"0";"1340";"1640";"3253.77";"1880";"48750";"6267.73";"18590.5";"84.67"
"2";"all";"37";"0";"10620";"13250";"15785.37";"15000";"185820";"17117.52";"37320";"84.63"
"2";"control";"37";"0";"8000";"11000";"9745.13";"12600";"15450";"3939.8";"14150";"84.63"
"2";"perio";"37";"0";"0";"0";"2896.35";"0";"159550";"14373.22";"5800";"84.63"
"2";"disease";"37";"0";"1300";"1600";"3143.9";"1840";"48000";"6085.66";"17700";"84.63"
"2";"all";"38";"0";"10410";"13030";"15527.94";"14770";"186600";"16938.34";"36680";"84.7"
"2";"control";"38";"0";"7800";"10750";"9555.3";"12400";"15250";"3883.72";"13950";"84.7"
